animal_ID,larvae_length_pixel_raw,larvae_length_pixel,tray_width_pixel,larvae_length_mm,treatment_odor,starved,hatch_date,acclimate_start,experiment_start,sex,dead,start_hour,start_min,minutes_past_L
180612-05-bottom,33.0,33,534,4.9,naive_100ul_left_food_extract,1day,180607,15:50,16:05,f,no,15,50,425
180612-05-top,39.013000000000005,39,557,5.6,naive_100ul_left_food_extract,1day,180607,15:50,16:05,m,no,15,50,425
180612-06-bottom,37.165,37,545,5.5,naive_100ul_left_food_extract,1day,180607,16:25,16:40,m,no,16,25,460
180612-06-top,44.365,44,547,6.5,naive_100ul_left_food_extract,1day,180607,16:25,16:40,f,no,16,25,460
180612-07-bottom,42.406000000000006,42,539,6.3,naive_100ul_left_food_extract,1day,180607,17:00,17:15,f,no,17,0,495
180612-07-top,44.138999999999996,44,555,6.4,naive_100ul_left_food_extract,1day,180607,17:00,17:15,f,no,17,0,495
180612-08-bottom,43.141999999999996,43,546,6.3,naive_100ul_left_food_extract,1day,180607,17:35,17:50,f,no,17,35,530
180612-08-top,42.526,43,551,6.2,naive_100ul_left_food_extract,1day,180607,17:35,17:50,f,no,17,35,530
180613-01-bottom,51.266000000000005,51,544,7.5,naive_100ul_left_food_extract,no,180608,14:15,14:30,f,no,14,15,330
180613-01-top,45.177,45,547,6.6,naive_100ul_left_food_extract,no,180608,14:15,14:30,m,no,14,15,330
180613-02-bottom,40.205,40,542,5.9,naive_100ul_left_food_extract,no,180608,14:50,15:05,m,no,14,50,365
180613-02-top,47.676,48,558,6.8,naive_100ul_left_food_extract,no,180608,14:50,15:05,f,no,14,50,365
180613-03-bottom,41.382,41,544,6.1,naive_100ul_left_food_extract,no,180608,15:25,15:40,m,no,15,25,400
180613-03-top,44.847,45,551,6.5,naive_100ul_left_food_extract,no,180608,15:25,15:40,m,no,15,25,400
180613-04-bottom,40.271,40,538,6.0,naive_100ul_left_food_extract,1day,180608,16:00,16:15,m,no,16,0,435
180613-04-top,44.23,44,562,6.3,naive_100ul_left_food_extract,1day,180608,16:00,16:15,f,no,16,0,435
