animal_ID,treatment_odor,larvae_length_mm,minutes_past_L,starved,sex,median_conc,median_speed,time_move,time_wall,bins_per_distance,discovery_time,cd_move,cd_speed,c_speed,cd_turn,c_turn
170524-08-bottom,naive_100ul_left_quinine_10mM,6.7,320,no,f,3.3725,0.5814077515387039,0.44549499443826474,0.6724137931034483,0.35592668599634575,506.0,-0.010452961672473868,-0.10753514281701915,0.2615836785277347,-0.056386595434677,0.005613627564847068
170524-08-top,naive_100ul_left_quinine_10mM,6.9,320,no,m,18.14616666666667,0.7864548579162121,0.42269187986651835,0.43882091212458285,0.30849945600955886,77.0,0.008438818565400843,0.14634707765885435,-0.12751763875427546,-0.1008101130597347,0.07017543859649122
170524-09-bottom,naive_100ul_left_food_05percent,5.7,395,no,m,25.682499999999997,0.6859738536311091,0.3804226918798665,0.5066740823136818,0.3097597401534808,1.0,-0.08985507246376812,-0.04524197724987833,-0.023701791460946087,0.007589104214663245,0.03774519875753879
170524-10-top,naive_100ul_left_food_05percent,5.6,430,no,f,21.8245,0.6140119101032202,0.3364849833147942,0.44660734149054504,0.3974303141456906,219.5,-0.06711409395973154,-0.0922933560633058,-0.0654944993019182,-0.11275507895570336,0.0940080971659919
170524-11-bottom,naive_100ul_left_food_05percent,5.5,470,no,f,31.3675,1.5538955232347755,0.46410684474123537,0.5203116304952699,0.19249807157637208,1.5,-0.05348460291734198,0.17447369279544356,-0.6462346917384638,-0.05649104320337195,0.06488470574793087
170524-11-top,naive_100ul_left_food_05percent,6.6,470,no,f,25.952,0.7066964642864387,0.4051196438508626,0.6716750139120757,0.2658870560053443,90.5,-0.0825242718446602,0.25337298480344805,0.10775541689186707,-0.0971599402092676,0.12638142620232173
170525-01-bottom,naive_100ul_left_food_05percent,6.6,352,no,m,2.3960416666666666,0.39622761164400366,0.16407119021134595,0.9110122358175751,0.5076561395282753,900.0,-0.15384615384615385,-0.09757751557653849,-0.39622761164400366,0.10303030303030303,-0.6474576271186441
170525-01-top,naive_100ul_left_food_05percent,6.3,352,no,f,1.35075,0.5039663649931411,0.23804226918798665,0.7113459399332592,0.40268030577420705,41.5,0.046511627906976744,-0.1708523588963895,0.09997385688934557,-0.17452574525745262,0.1580306698950767
170525-02-bottom,naive_100ul_left_food_05percent,6.1,387,no,m,22.141291666666664,0.5512353284794554,0.31590656284760843,0.43047830923248054,0.5613636200979863,232.5,0.028037383177570093,0.08461203602324452,-0.09685376510903926,-0.030419580419580483,0.06422782700901308
170525-02-top,naive_100ul_left_food_05percent,6.5,387,no,f,19.008958333333332,0.6419354788237345,0.7452725250278087,0.3186874304783092,0.32899170847973036,1.0,-0.006858710562414266,-0.0073480123630407235,-0.10277704180115976,-0.12680084905234318,0.07679385778356873
170525-03-bottom,naive_100ul_left_food_05percent,7.5,422,no,f,18.911583333333333,0.47641937129747397,0.521134593993326,0.5639599555061179,0.36205988663124616,24.5,0.038901601830663615,-0.0325920521704427,-0.016016822527296193,-0.05055590518145581,0.06486995624696157
170525-03-top,naive_100ul_left_food_05percent,7.6,422,no,f,22.366833333333332,0.5540527006704792,0.7152391546162402,0.6290322580645161,0.3155140973978318,10.5,0.005479452054794521,-0.001009734283335284,-0.02547031672184008,-0.012047650145247335,0.01174111402671757
170526-01-bottom,naive_100ul_left_quinine_10mM,6.7,311,no,f,8.564583333333333,0.617288767688857,0.5597554196775987,0.5530850472484714,0.34352105583777204,1.0,0.0,-0.046935653325688165,-0.00017717590398846905,0.033492822966507185,-0.029656906416424156
170526-01-top,naive_100ul_left_quinine_10mM,6.8,311,no,f,13.278666666666664,1.1789428178019603,0.7153974430239022,0.6209005002779322,0.17314111767672638,44.5,-0.03937007874015748,0.18773686289023228,-0.06772812728258049,-0.027901970524921327,0.1412426079921263
170526-02-top,naive_100ul_left_quinine_10mM,5.9,350,no,m,47.201125000000005,1.4299435862398877,0.27808676307007785,0.6129032258064516,0.19722239498128447,1.0,0.008130081300813009,0.09399501687386724,-0.5010737728992918,-0.006522122333862179,0.040075266234286144
170526-03-bottom,naive_100ul_left_quinine_10mM,5.0,388,no,f,21.901249999999997,1.2259524423224892,0.521134593993326,0.31590656284760843,0.23049049934968197,1.0,-0.031141868512110725,-0.10329212539533938,0.09437199421958442,-0.04012464046021097,-0.026212906264719726
170526-03-top,naive_100ul_left_quinine_10mM,6.4,388,no,f,33.74358333333333,1.0068183620165758,0.3720800889877642,0.5422691879866518,0.24237875969675987,1.0,-0.004347826086956522,0.08799791424553738,-0.40261451513866675,-0.01801546343031063,0.15512015325298867
170526-04-bottom,naive_100ul_left_indole_100uM,6.4,428,no,m,27.57754166666667,1.1520241207566555,0.43270300333704115,0.6190211345939933,0.22349662091561667,93.5,-0.0017452006980802793,-0.0466858780860826,-0.22140291100146126,-0.01288954947491533,0.07216291024120208
170526-04-top,naive_100ul_left_indole_100uM,5.9,428,no,f,23.320999999999998,0.9096085541616505,0.31906614785992216,0.4708171206225681,0.3566877025022057,25.5,0.007874015748031496,0.07412416562205615,0.09559669771949453,-0.022321428571428548,0.03222730739893209
170526-05-bottom,naive_100ul_left_indole_100uM,5.3,466,no,m,10.222125,0.5465109800042222,0.32091212458286983,0.20745272525027808,0.45453238933790396,445.0,-0.02608695652173913,-0.026288589233587123,0.044670523357025815,0.05447941888619856,-0.00816721293858469
170526-05-top,naive_100ul_left_indole_100uM,5.5,466,no,m,4.430375,0.8732485306981357,0.560622914349277,0.6134593993325917,0.2811673278369281,156.0,-0.03667481662591687,-0.05538565706847276,-0.17556196250007938,-0.0035197777990613743,0.03986175115207374
170530-01-bottom,naive_100ul_left_indole_100uM,7.2,45,no,f,6.636125000000001,0.3910111576006424,0.3414905450500556,0.43270300333704115,0.4793701116251076,382.5,-0.0041841004184100415,-0.031071565959581604,-0.028774667441362478,0.037815126050420145,0.184822695035461
170530-01-top,naive_100ul_left_indole_100uM,7.0,45,no,f,1.5119999999999998,0.4699339766192409,0.45525291828793774,0.7181767648693719,0.30872215441134504,900.0,-0.044585987261146494,-0.01983492744634563,-0.4699339766192409,-0.006666666666666654,-0.5641025641025641
170530-02-bottom,naive_100ul_left_indole_100uM,7.3,80,no,f,11.739208333333334,0.5839912236493279,0.7135706340378198,0.4872080088987764,0.29178775457535183,11.5,0.0581039755351682,-0.02341124850764431,0.014544463044239175,0.03635237594775165,0.11480313917052432
170530-02-top,naive_100ul_left_indole_100uM,6.1,80,no,m,31.06875,0.6589299976535408,0.39966648137854366,0.38632573652028906,0.31160789983590453,1.0,-0.04326923076923077,-0.0799547191971387,-0.03161835279139413,-0.16696385151564275,-0.09670040601589758
170530-03-bottom,naive_100ul_left_indole_100uM,7.3,115,no,f,18.79616666666667,0.7001086340834022,0.7015590200445434,0.6185968819599109,0.2089387055267636,106.5,-0.04050632911392405,0.09982099251007304,0.04267625097212635,-0.015002985189607687,0.08960470963974587
170530-03-top,naive_100ul_left_indole_100uM,6.4,115,no,m,13.116875,0.6429379423246356,0.4482758620689655,0.43548387096774194,0.41038287873775187,99.5,0.007194244604316547,-0.08370334409202007,-0.16416701720934757,-0.03464458247066943,-0.0008689545167779866
170530-04-bottom,naive_100ul_left_indole_100uM,5.5,150,no,m,3.8585,0.8417223012599933,0.6829810901001112,0.42380422691879865,0.23402219970078336,54.0,0.03278688524590164,-0.17875957779562168,0.3222699703775961,-0.013384449825127764,-0.02933643246414752
